hcat3_code,hcat3_name,ec_code,ec_name,hrl_code,hrl_name
3301061231,rubia_tinctorum_common_madder,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061232,saffron_crocus_sativus,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061233,silver_comb,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061234,st_johns_wort,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061235,stachys_hedgenettle_chinese_artichoke,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061236,tarragon,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061237,thyme,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061238,valerian,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061239,yarrow,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061298,unspecified_aromatic_medicinal_culinary_plants_spices_herbs,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061299,other_aromatic_medicinal_culinary_plants_spices_herbs,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061300,marian_thistles,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061400,phacelia,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061500,camelina,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061600,onobrychis_sainfoins,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301069900,other_industrial_crops,230.0,Other non permanent industrial crops,3100,Unclassified arable crop
3301070000,fresh_vegetables,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080000,flowers_ornamental_plants,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080100,adonis,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080200,anemones_windflowers,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080300,asters,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080400,begonias,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080500,bluebells,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080600,bulrush,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080700,burnet,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080800,carnation,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301080900,chrysanthemum,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081000,cornflowers,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081100,corsican_hellebore,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081200,dahlia,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081300,daisy_daisies,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081400,dandelions,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081500,echinacea_sun_hat,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081600,edelweiss,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081700,fiddleneck_amsinckia,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301110000,fallow_land_not_crop,250.0,Other fodder crops (excl. temp. grasslands),3100, Unclassified arable 
3301081800,fuchsias,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301081900,galega,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082000,gentians,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082100,gladiolus_gladioli,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082200,goldenrod,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082300,iris,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082400,isatis_tinctoria_woad,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082500,lilies,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082600,lotus,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082700,lunaria_honesty_silver,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082800,malva,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301082900,milk_star,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083000,miscanthus_silvergrass,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083100,monstera_adansonii_eyelet,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083200,moonseed,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083300,narcissus_daffodil,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083400,peony_peonies,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083500,primrose,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083600,rhododendron,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083700,roses,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083800,rudbeckia_coneflowers,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301083900,safflower,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084000,salsify,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084100,sanvitalia_procumbens,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084200,serradella,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084300,silene_catchfly,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084400,silphium_rosinweeds,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084500,snapdragons,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084600,stonecrop,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084700,tagetes,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084800,thimbles,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301084900,tulips,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301085000,viola,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301085100,violets_pansies,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301085200,zinnias,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301089800,unspecified_flowers_ornamental_plants,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301089900,other_flowers_ornamental_plants,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301090000,plants_harvested_green,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301090100,temporary_grass,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301090200,poaceae_grasses,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301090201,elymus,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301090202,festuca_fescue,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301090203,cocksfoot_catgrass,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301090204,festulolium,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
